"carat","cut","color","clarity","depth","table","price","x","y","z"
0.5,"Fair","G","SI1",67.1,59,1103,4.96,4.84,3.29
0.59,"Ideal","F","SI2",61.8,55,1265,5.41,5.44,3.35
0.73,"Ideal","H","VS2",62,54,2583,5.79,5.83,3.6
1,"Good","E","SI1",57.5,62,5051,6.5,6.58,3.76
0.36,"Ideal","D","VS2",62,54,776,4.6,4.62,2.86
1,"Very Good","G","VVS1",60.7,58,7945,6.46,6.53,3.94
0.51,"Ideal","D","VS2",62.4,55,1678,5.12,5.14,3.2
0.72,"Good","D","SI2",59.7,61,2620,5.78,5.84,3.47
1.01,"Premium","H","VS2",58.1,60,4348,6.61,6.55,3.82
0.34,"Ideal","D","SI1",62,56,803,4.5,4.47,2.78
1,"Very Good","I","VS2",63.5,56,4620,6.33,6.3,4.01
0.33,"Premium","G","IF",59.4,59,853,4.49,4.54,2.68
2.14,"Very Good","I","SI1",61.3,61,15769,8.28,8.32,5.09
0.72,"Ideal","D","SI2",62.7,55,2647,5.7,5.72,3.58
1.61,"Very Good","G","SI2",63.4,55,6915,7.47,7.35,4.7
0.25,"Very Good","F","VVS2",60.4,59,575,4.09,4.12,2.48
1.52,"Very Good","I","VS2",63.3,61,8938,7.27,7.23,4.59
0.31,"Ideal","G","VS1",61.3,56.4,652,4.36,4.39,2.69
0.32,"Ideal","F","VVS2",62,55,1008,4.41,4.39,2.73
1,"Premium","F","SI2",61.6,58,4480,6.44,6.35,3.94
0.32,"Ideal","H","VS1",63,57,720,4.35,4.32,2.73
2.14,"Very Good","J","SI1",62.3,59,14556,8.24,8.26,5.14
0.62,"Ideal","D","SI1",60.8,59,1927,5.48,5.5,3.34
0.61,"Good","E","SI1",61.3,61,1793,5.4,5.44,3.32
1.01,"Very Good","F","SI2",59.1,57,4304,6.57,6.62,3.9
1.02,"Ideal","F","VS2",61.5,57,6306,6.48,6.5,3.99
0.32,"Ideal","F","IF",61.9,55,915,4.38,4.44,2.73
0.44,"Premium","G","VS2",60.6,58,1063,4.96,4.9,2.99
2.11,"Ideal","I","SI1",61,57,15486,8.37,8.29,5.08
2,"Premium","J","I1",61.5,59,5051,8.11,8.06,4.97
1.03,"Fair","G","SI1",64.7,63,4424,6.36,6.31,4.1
1.2,"Ideal","H","SI1",60.8,57,6485,6.9,6.88,4.19
0.79,"Ideal","F","SI1",61.3,56,3163,5.96,6.01,3.67
0.3,"Very Good","D","VS1",60.1,55,863,4.37,4.4,2.63
0.28,"Very Good","E","VS1",59.5,59,487,4.29,4.35,2.57
1,"Premium","H","VS2",62.6,59,5320,6.37,6.31,3.97
2.02,"Very Good","G","SI2",63.1,57,12094,8.01,7.97,5.04
0.74,"Premium","H","VS2",60.2,58,2553,5.92,5.88,3.55
0.33,"Ideal","I","VS1",61.7,55,573,4.44,4.47,2.75
0.57,"Ideal","E","VS2",60.4,57,1728,5.36,5.4,3.25
0.38,"Very Good","G","VS2",60.1,61,766,4.63,4.66,2.79
0.32,"Ideal","F","VVS1",61.7,56,809,4.37,4.42,2.71
1.73,"Ideal","H","SI1",62.7,56,11688,7.62,7.67,4.79
1.24,"Good","E","SI2",58.5,57,5809,7.03,7.1,4.13
0.7,"Good","F","SI2",63.3,58,1978,5.57,5.61,3.54
0.9,"Fair","E","SI2",65,58,2930,6.08,6.04,3.94
1.08,"Ideal","J","SI1",61.8,56,4524,6.58,6.55,4.06
0.56,"Premium","E","VS2",59.9,58,2167,5.37,5.34,3.21
0.5,"Very Good","G","SI1",63.3,59,1187,4.99,5.02,3.17
0.72,"Ideal","H","SI1",61.7,54,2359,5.77,5.81,3.57
0.24,"Ideal","F","VS2",61.2,57,419,4.04,4.06,2.48
0.3,"Ideal","D","VS2",60.8,57,710,4.33,4.38,2.65
0.77,"Premium","F","VVS2",60.5,56,3450,5.94,5.9,3.58
0.52,"Ideal","G","SI1",61.1,55,1197,5.22,5.26,3.2
0.5,"Ideal","D","SI1",62.6,57,1654,5.1,5.06,3.18
0.69,"Fair","I","VS1",57.9,63,1692,5.73,5.77,3.33
0.9,"Very Good","J","SI1",63.4,54,2834,6.17,6.14,3.9
0.3,"Very Good","G","VVS2",60.4,59,598,4.33,4.35,2.62
0.41,"Very Good","F","SI1",62.6,55,755,4.74,4.78,2.98
1.54,"Very Good","I","SI2",59.4,61,7589,7.49,7.56,4.47
0.33,"Ideal","D","VS2",61.5,56,940,4.47,4.5,2.76
0.75,"Very Good","F","VS1",63.2,57,3129,5.78,5.74,3.64
0.3,"Ideal","E","VVS1",61.5,58,838,4.28,4.31,2.64
1.14,"Ideal","I","SI1",60.8,58,5096,6.71,6.74,4.09
1.07,"Ideal","H","VS2",63.6,59,5698,6.46,6.42,4.09
0.23,"Very Good","E","VVS2",63.8,57,485,3.88,3.9,2.48
0.93,"Very Good","E","SI1",62.5,58,4537,6.18,6.24,3.88
1.52,"Premium","F","SI2",62.3,59,8342,7.37,7.33,4.58
0.3,"Ideal","F","IF",62.1,57,886,4.29,4.31,2.67
1.6,"Ideal","H","SI2",62.1,56,9444,7.51,7.43,4.64
0.37,"Ideal","G","VS2",60.8,57,649,4.61,4.66,2.82
1.5,"Ideal","E","SI1",62,55,11385,7.32,7.4,4.56
0.9,"Premium","H","VS1",61.5,59,4064,6.19,6.13,3.79
1.2,"Fair","I","I1",62.2,66,3011,6.77,6.7,4.2
0.9,"Ideal","E","VS2",62.1,57,4419,6.15,6.18,3.83
0.42,"Ideal","G","VVS1",61.2,57,1179,4.78,4.82,2.94
1,"Premium","E","SI2",58.5,61,4202,6.52,6.48,3.8
0.7,"Ideal","F","VS2",61,55,3468,5.74,5.79,3.52
0.7,"Ideal","E","VS2",62.2,55,2981,5.67,5.71,3.54
1.51,"Very Good","E","SI2",63.1,58,9513,7.31,7.28,4.6
0.47,"Ideal","G","VVS1",61.3,56,1441,5.03,5.05,3.09
1.04,"Premium","E","VS1",58.6,59,6765,6.68,6.64,3.9
1.67,"Ideal","I","VS1",61.2,57,10802,7.69,7.66,4.7
1.51,"Very Good","E","SI2",61.1,60,9343,7.27,7.37,4.47
0.35,"Ideal","I","VVS2",62.3,57,614,4.49,4.53,2.81
0.78,"Ideal","I","VS2",61.2,58,2652,5.88,5.92,3.61
0.51,"Ideal","D","VS2",61.7,55,1882,5.14,5.11,3.16
1.02,"Ideal","G","VS2",62.6,57,5816,6.41,6.43,4.02
0.4,"Ideal","F","VS1",62.7,55,982,4.74,4.76,2.98
1.21,"Premium","E","SI2",61,58,4933,6.93,6.88,4.21
0.53,"Ideal","G","VVS2",60.4,59,1946,5.26,5.3,3.19
0.74,"Premium","D","VS1",62.7,56,3365,5.8,5.77,3.63
0.7,"Very Good","G","VS1",60.5,62,2287,5.72,5.76,3.47
1.02,"Premium","G","SI1",60.7,60,4855,6.51,6.48,3.94
1.08,"Premium","G","VS1",61.5,61,6532,6.62,6.55,4.05
0.9,"Premium","D","SI2",62.9,56,4007,6.19,6.09,3.86
0.76,"Very Good","H","SI1",63.3,58,2593,5.79,5.81,3.67
0.3,"Very Good","E","VVS2",62.9,55,840,4.25,4.27,2.68
0.73,"Fair","I","VS1",55.9,66,2330,6.11,6.01,3.39
0.96,"Good","D","SI1",61,61,4693,6.29,6.33,3.85
0.59,"Very Good","H","SI2",61.2,60,1254,5.38,5.43,3.31
0.41,"Premium","G","VS2",60.7,59,772,4.8,4.85,2.93
0.71,"Ideal","I","VS2",62.1,57,2270,5.72,5.64,3.53
2,"Ideal","F","I1",60.3,56,10685,8.27,8.16,4.94
0.38,"Ideal","F","VS2",62.4,54,969,4.65,4.6,2.89
0.91,"Good","H","SI1",63.9,60,3485,6.08,6.13,3.9
0.25,"Ideal","G","VS1",62.5,55,454,4,4.02,2.51
0.91,"Very Good","E","SI1",62.3,59,4914,6.18,6.21,3.86
0.51,"Ideal","G","VVS2",62.5,59,1825,5.08,5.12,3.19
0.3,"Good","I","SI1",64.1,57,391,4.25,4.3,2.74
0.5,"Ideal","G","VS2",62,56,1449,5.08,5.11,3.16
0.45,"Good","G","VVS1",64,57,1254,4.86,4.82,3.1
0.36,"Ideal","D","SI1",62,54,626,4.58,4.61,2.85
0.51,"Ideal","F","VVS2",61.2,56,2203,5.19,5.17,3.17
1.52,"Premium","G","VS1",61.2,60,14424,7.4,7.37,4.52
2.01,"Premium","H","SI2",62,60,14364,8.11,8.04,5.02
0.74,"Premium","G","SI2",63,56,2398,5.77,5.75,3.63
0.9,"Very Good","H","SI1",63.2,59,3388,6.08,6.14,3.86
0.71,"Ideal","I","VVS1",62.6,57,2559,5.66,5.69,3.55
1.18,"Premium","G","SI2",60.5,60,4988,6.88,6.81,4.14
1.04,"Premium","G","VS2",62.2,58,6122,6.49,6.4,4.01
0.39,"Ideal","E","VS2",60.5,56,839,4.75,4.77,2.88
0.31,"Ideal","G","VVS2",62.4,54,687,4.37,4.38,2.73
0.62,"Ideal","E","SI1",60.7,56,2156,5.54,5.57,3.37
0.3,"Premium","G","SI1",62.7,58,574,4.27,4.22,2.66
0.31,"Ideal","G","VS2",61.5,56,652,4.34,4.36,2.68
0.72,"Ideal","H","SI2",61.8,55,1814,5.79,5.76,3.57
0.57,"Ideal","E","SI1",62.2,55,1613,5.37,5.31,3.32
0.6,"Good","G","VS1",60.1,61,1757,5.44,5.5,3.29
0.42,"Ideal","G","VVS2",62.2,56,1103,4.81,4.77,2.98
1.02,"Premium","G","SI1",62.2,58,4435,6.44,6.48,4.02
0.99,"Very Good","J","SI1",60.3,57,4002,6.44,6.49,3.9
0.32,"Ideal","I","VS2",62.5,55,576,4.4,4.37,2.74
1.2,"Premium","D","VS2",61.1,58,10161,6.85,6.83,4.18
0.57,"Premium","I","SI2",62.1,60,1097,5.32,5.27,3.29
0.3,"Good","H","VS1",63.1,57,526,4.24,4.26,2.68
1.7,"Ideal","I","SI1",62.9,57,9901,7.57,7.5,4.74
0.4,"Ideal","G","IF",62.3,55,1229,4.74,4.76,2.96
1.51,"Very Good","F","SI1",62.6,57,12141,7.25,7.31,4.56
0.41,"Ideal","H","SI1",62.8,56,876,4.77,4.72,2.98
0.4,"Premium","G","VVS2",59.7,58,1050,4.8,4.78,2.86
0.34,"Ideal","D","VS2",61.6,55,881,4.54,4.48,2.78
0.62,"Fair","D","SI2",64.6,57,1410,5.39,5.33,3.46
1,"Very Good","F","VS2",63.3,55,6382,6.34,6.29,4
1.09,"Ideal","G","SI2",62.1,56,4586,6.59,6.66,4.12
1,"Fair","E","SI1",66.5,55,3696,6.21,6.19,4.12
0.72,"Premium","E","SI1",62.1,58,2857,5.76,5.73,3.57
0.84,"Good","F","I1",60.8,64,1749,6.05,6.03,3.67
0.4,"Premium","F","VVS2",60.8,59,1163,4.73,4.71,2.87
0.51,"Very Good","E","VVS2",60,58,2365,5.2,5.23,3.13
1,"Premium","I","SI2",62.5,56,3780,6.38,6.3,3.96
1.07,"Premium","I","VS2",60.7,58,4491,6.62,6.66,4.03
2.01,"Premium","E","SI2",62,61,17179,8.1,8.04,5
0.41,"Premium","H","VS1",58.2,59,990,4.92,4.88,2.85
0.32,"Ideal","I","VS2",63,56,576,4.42,4.38,2.77
1.01,"Premium","E","SI2",60.4,57,3801,6.53,6.49,3.93
0.27,"Ideal","G","SI2",62.3,55,361,4.14,4.18,2.59
1.01,"Very Good","F","VS2",61.1,56,5988,6.49,6.56,3.99
1.2,"Premium","F","VVS2",62.8,60,10580,6.79,6.74,4.25
0.77,"Very Good","G","VVS1",62.7,54,3966,5.84,5.89,3.67
0.59,"Premium","D","SI1",62.8,57,1835,5.38,5.32,3.36
0.53,"Premium","E","SI2",62.2,57,984,5.2,5.16,3.22
2.01,"Premium","I","SI1",61.3,60,11646,8.09,8.05,4.95
0.3,"Ideal","G","IF",62.4,55,863,4.32,4.34,2.7
1,"Premium","G","VS1",62.9,55,5940,6.39,6.33,4
0.23,"Very Good","E","VVS2",58,60,465,4.04,4.07,2.35
0.52,"Ideal","D","VVS2",62.4,56,2362,5.15,5.17,3.22
0.42,"Ideal","I","VVS2",62.8,54,862,4.78,4.8,3.01
1.54,"Very Good","J","VS1",63.5,57,9285,7.27,7.37,4.65
0.31,"Premium","D","VS2",62.6,59,942,4.33,4.3,2.7
0.72,"Premium","F","SI1",60.1,59,2492,5.83,5.81,3.5
0.51,"Ideal","I","SI1",61.9,54,1000,5.12,5.15,3.18
0.42,"Very Good","H","SI1",62.9,57,700,4.76,4.84,3.02
0.78,"Very Good","H","VS1",61.7,56,2947,5.92,5.94,3.66
1.26,"Very Good","H","VS2",63.8,52,7567,6.89,6.84,4.38
1.03,"Ideal","D","VS1",61.7,57,10607,6.45,6.48,3.99
1.34,"Ideal","D","SI1",62.2,57,8930,7.07,6.95,4.36
0.42,"Premium","E","SI2",60.1,58,653,4.87,4.91,2.94
0.5,"Good","F","VS2",60.9,60.4,1565,5.13,5.2,3.14
0.35,"Premium","D","VS2",62,58,1063,4.56,4.54,2.82
0.95,"Very Good","I","SI1",63.5,58,3378,6.19,6.16,3.92
1.09,"Premium","D","SI2",61.9,61,3961,6.58,6.54,4.06
1.5,"Fair","H","SI1",68,59,6340,7.12,6.82,4.76
1.24,"Premium","D","SI1",59.3,60,6319,7.05,7.01,4.16
0.42,"Ideal","G","VS1",61.8,56,984,4.84,4.8,2.98
1.13,"Very Good","I","SI2",59.9,57,4195,6.76,6.8,4.06
0.76,"Ideal","F","SI1",60.1,57,2607,5.95,5.99,3.59
0.51,"Ideal","H","VS1",61.1,56,1438,5.11,5.16,3.14
0.3,"Very Good","D","VS2",62.5,58,710,4.26,4.29,2.67
0.53,"Premium","E","VS2",61.4,55,1727,5.24,5.21,3.21
0.75,"Ideal","E","SI1",62,57,2821,5.8,5.78,3.59
0.41,"Ideal","E","VS1",60.4,55,1115,4.85,4.89,2.94
0.25,"Good","D","VVS2",57.5,61,548,4.16,4.19,2.4
1.11,"Very Good","I","SI2",63.7,58,3882,6.57,6.53,4.17
2,"Premium","J","SI2",61.9,55,11899,8.09,8.06,5
0.43,"Premium","G","VS2",61.1,58,867,4.84,4.88,2.97
1.73,"Premium","G","VS1",61.6,60,11867,7.67,7.62,4.71
0.74,"Very Good","F","SI1",61.7,55,2698,5.83,5.87,3.61
1.4,"Premium","H","VS2",62.9,55,8847,7.15,7.06,4.47
0.38,"Ideal","E","SI1",62.1,55,685,4.64,4.67,2.89
0.32,"Premium","G","VS1",60.6,60,828,4.44,4.4,2.68
1.23,"Ideal","F","SI2",62.3,58,5894,6.8,6.84,4.25
0.7,"Fair","J","VVS1",67.6,54,1691,5.56,5.41,3.71
1.01,"Premium","H","SI2",61.6,59,4166,6.39,6.44,3.95
0.3,"Ideal","E","VS2",61.8,55,673,4.32,4.33,2.68
1.11,"Very Good","F","SI1",60.1,61,5384,6.64,6.74,4.06
1.05,"Premium","J","SI2",60.9,60,3457,6.59,6.51,3.99
0.37,"Very Good","E","VVS1",60.9,56,1055,4.65,4.67,2.84
0.29,"Ideal","F","IF",61.9,56,748,4.27,4.3,2.65
1.02,"Ideal","H","VVS2",62.1,55,6797,6.5,6.46,4.02
0.47,"Very Good","G","VVS1",60.6,55,1780,5.05,5.09,3.07
0.27,"Very Good","D","VVS1",62.3,54,721,4.18,4.21,2.61
0.7,"Very Good","G","SI2",58.2,63,1966,5.82,5.79,3.38
0.54,"Ideal","G","VS1",62,53.9,1745,5.22,5.24,3.24
1.51,"Fair","I","SI1",68.3,57,8355,6.95,6.87,4.72
0.32,"Ideal","G","IF",61.8,55,954,4.41,4.43,2.73
0.32,"Very Good","H","VS2",62.7,54,505,4.39,4.41,2.76
0.51,"Very Good","D","VS2",63.5,56,1793,5.1,5.04,3.22
1.22,"Fair","I","SI1",66.2,60,4099,6.61,6.56,4.36
0.7,"Ideal","F","VS1",61.2,58,3154,5.7,5.73,3.5
0.7,"Fair","G","VS2",57.3,63,2273,5.78,5.84,3.33
1.21,"Premium","G","VS1",62.7,58,8456,6.79,6.74,4.24
0.42,"Ideal","D","VS2",62.7,55,938,4.79,4.81,3.01
2.51,"Very Good","J","SI1",63.8,55,16842,8.51,8.6,5.46
1.08,"Ideal","G","VVS1",61.6,56,8347,6.6,6.65,4.08
0.32,"Premium","G","IF",59.4,59,954,4.48,4.51,2.67
0.31,"Ideal","I","SI1",63,57,523,4.34,4.32,2.73
0.9,"Very Good","D","SI1",62.4,63,3997,6.18,6.15,3.85
1.14,"Ideal","G","VS2",61.4,56,7667,6.74,6.77,4.15
0.36,"Ideal","E","VVS2",61,55,1131,4.6,4.62,2.81
1,"Good","E","SI1",59.3,61,4916,6.42,6.53,3.84
0.33,"Very Good","F","VS1",59.1,60,772,4.48,4.52,2.66
1.65,"Very Good","H","SI2",63.4,59,8020,7.53,7.49,4.76
0.33,"Ideal","G","VS2",62.3,57,743,4.43,4.4,2.75
0.41,"Ideal","D","SI2",61,56,683,4.78,4.83,2.93
0.4,"Ideal","E","VS2",60.9,56,904,4.78,4.81,2.92
0.32,"Premium","J","VS2",61.9,59,393,4.35,4.38,2.7
1.5,"Very Good","E","SI1",64,58,11194,7.21,7.23,4.62
1.51,"Premium","H","SI1",62.8,60,7759,7.22,7.14,4.51
0.53,"Ideal","H","SI1",61.3,55,1268,5.23,5.27,3.22
2.01,"Very Good","G","SI2",63.3,58,15563,8.01,8.05,5.08
0.41,"Ideal","G","VVS2",61.8,56,1007,4.74,4.78,2.94
0.46,"Ideal","G","VVS1",62,54,1412,4.97,5,3.09
1.28,"Ideal","G","VS1",62.1,56,10537,6.97,6.94,4.32
1.55,"Ideal","G","SI2",60.5,60,8981,7.46,7.49,4.52
0.7,"Fair","G","SI2",69.3,60,1420,5.41,5.35,3.72
0.32,"Ideal","E","VS1",61.8,55,972,4.43,4.4,2.73
0.3,"Ideal","H","IF",62.2,54,764,4.34,4.37,2.71
0.4,"Premium","E","VS2",60.7,60,912,4.7,4.75,2.87
0.4,"Ideal","H","VVS1",62,54,1017,4.72,4.76,2.94
0.32,"Ideal","H","SI2",61.5,56,420,4.43,4.45,2.73
1,"Good","G","VS2",63,58,5723,6.25,6.35,3.97
0.95,"Very Good","E","SI1",61.6,56,4738,6.31,6.36,3.9
0.54,"Ideal","H","VVS1",60.3,56,1944,5.33,5.28,3.2
1,"Good","D","VS2",63.6,56,5645,6.38,6.27,4.02
1.66,"Premium","D","SI1",62,59,14224,7.55,7.6,4.7
0.79,"Very Good","F","SI1",58.5,61,3073,6.03,6.08,3.54
0.7,"Fair","D","SI2",58.1,60,2358,5.79,5.82,3.37
0.31,"Very Good","G","VS1",62.9,57,625,4.3,4.32,2.71
1.51,"Good","H","VS1",59.1,58,11512,7.48,7.52,4.43
0.51,"Ideal","G","VVS2",60.1,56,1875,5.19,5.22,3.13
1.27,"Premium","D","SI1",62.5,58,8463,6.92,6.87,4.31
0.36,"Ideal","E","VS2",61.9,56,1013,4.59,4.56,2.83
0.53,"Very Good","F","SI2",63.2,55,1110,5.17,5.18,3.27
1.21,"Good","J","SI2",61.1,60.8,4824,6.83,6.89,4.18
0.93,"Ideal","J","VS1",62.3,56,3281,6.26,6.22,3.89
1.28,"Premium","I","VS2",61.7,60,6762,7.05,6.95,4.32
0.23,"Good","E","VS1",64.3,59,373,3.84,3.87,2.48
0.42,"Very Good","D","VS1",60.7,60,1066,4.81,4.88,2.94
0.41,"Ideal","G","VS2",59.8,57,827,4.81,4.85,2.89
0.47,"Ideal","E","VVS2",62,55,1883,4.97,5,3.09
0.71,"Ideal","E","VS2",62.2,57,2776,5.79,5.62,3.55
1.51,"Premium","F","SI1",62,57,8033,7.36,7.28,4.54
0.37,"Ideal","G","VS1",61,55,810,4.66,4.68,2.85
0.34,"Premium","G","SI2",62.8,58,574,4.46,4.43,2.79
0.7,"Good","E","VVS2",63.6,62,2858,5.61,5.58,3.56
1,"Fair","E","SI2",65.2,56,4256,6.3,6.12,4.05
0.38,"Ideal","D","VS2",61.8,56,1013,4.65,4.67,2.88
0.51,"Ideal","H","VS2",60.1,60,1428,5.19,5.14,3.1
1.03,"Very Good","G","VS1",60.7,58,6628,6.5,6.55,3.96
1.13,"Premium","H","VS2",62.8,59,5571,6.63,6.58,4.15
1.04,"Ideal","I","VS2",61.8,55,5242,6.5,6.54,4.03
0.71,"Premium","H","SI2",62.4,56,2028,5.7,5.64,3.54
2.08,"Good","I","SI2",63.8,58,14084,8.1,8.02,5.14
0.32,"Ideal","E","VS2",61.6,55,900,4.42,4.41,2.72
0.58,"Premium","E","SI1",61.6,59,1794,5.38,5.33,3.3
0.7,"Good","H","VVS2",63.8,57,2657,5.61,5.51,3.55
0.3,"Very Good","F","VS1",63.1,59,603,4.2,4.27,2.67
0.57,"Ideal","G","VS1",60.6,57,1815,5.38,5.41,3.27
0.32,"Premium","G","VVS2",61.2,59,936,4.44,4.39,2.7
0.8,"Very Good","E","SI1",62.9,60,3146,5.87,5.89,3.7
0.3,"Very Good","E","VVS2",61.4,58,789,4.25,4.28,2.62
0.51,"Very Good","E","SI2",59.3,63,1427,5.18,5.25,3.09
1.02,"Very Good","D","SI2",61.3,62,3971,6.42,6.46,3.95
0.6,"Ideal","D","SI1",62.2,56,1996,5.44,5.4,3.37
0.8,"Ideal","H","VS1",63.1,58,3111,5.89,5.96,3.74
0.28,"Ideal","H","VVS1",62,55,586,4.17,4.22,2.6
0.71,"Ideal","G","VS1",62.6,57,2930,5.67,5.7,3.56
1.06,"Ideal","G","VS1",62.3,55,8451,6.5,6.53,4.06
0.41,"Very Good","G","VVS2",61.9,54,932,4.77,4.82,2.96
0.32,"Ideal","F","VS2",61.3,56,828,4.43,4.41,2.71
2.29,"Ideal","J","SI2",62.3,57,13200,8.39,8.43,5.24
0.91,"Good","F","SI2",63.8,59,3539,6.04,6.09,3.87
0.5,"Very Good","E","VVS2",62,55,2105,5.08,5.11,3.16
0.3,"Premium","G","VS2",62.2,60,675,4.25,4.24,2.64
0.33,"Ideal","G","IF",61.7,55,946,4.47,4.48,2.76
1.01,"Premium","G","VS2",62.1,60,5839,6.35,6.37,3.95
0.23,"Premium","H","VVS2",59.2,61,500,4.04,4,2.38
0.36,"Ideal","H","VVS1",62,54,783,4.59,4.61,2.85
0.5,"Very Good","G","VVS2",62.8,57,1764,5.05,5.07,3.18
0.53,"Very Good","E","IF",59.8,60,2542,5.28,5.35,3.18
1.11,"Ideal","E","SI1",61.4,58,6291,6.66,6.62,4.08
0.4,"Good","E","VVS2",57.7,62,981,4.82,4.88,2.8
0.31,"Ideal","F","IF",61.9,54,901,4.38,4.41,2.72
1.51,"Premium","G","SI1",60.6,60,10267,7.45,7.41,4.5
0.53,"Ideal","H","SI1",61.5,54,1205,5.21,5.26,3.22
1.14,"Premium","G","VS2",61.9,58,6256,6.72,6.68,4.15
0.7,"Very Good","J","SI2",61.7,59,1788,5.64,5.67,3.49
0.31,"Ideal","G","IF",62.8,56,786,4.34,4.39,2.74
0.42,"Premium","H","VS1",61.2,60,1087,4.84,4.77,2.94
0.33,"Ideal","G","IF",61,55,946,4.49,4.52,2.75
0.3,"Ideal","E","VVS1",62,57,844,4.29,4.32,2.67
0.41,"Premium","E","VVS2",61.5,58,918,4.75,4.78,2.93
1.01,"Good","G","SI1",63.6,57,4672,6.37,6.33,4.04
0.31,"Very Good","D","SI1",63.5,56,732,4.31,4.29,2.73
0.41,"Premium","G","VS2",61.9,59,1061,4.77,4.73,2.94
0.26,"Very Good","E","VVS2",63,58,597,4.08,4.11,2.58
0.35,"Premium","I","SI1",62.5,58,472,4.49,4.53,2.82
0.75,"Ideal","D","VS2",61.1,55,3679,5.87,5.89,3.6
0.23,"Very Good","E","VVS2",61.1,62,485,3.92,3.94,2.4
0.53,"Ideal","G","VVS2",61,56,1946,5.21,5.25,3.19
0.3,"Ideal","E","VS2",61.8,56,844,4.34,4.3,2.67
0.46,"Ideal","J","VS1",62.6,53.9,851,4.92,4.95,3.09
1.5,"Very Good","I","VS2",63.3,55,9533,7.3,7.26,4.61
0.72,"Ideal","H","VS2",62,56,2443,5.8,5.74,3.58
1.68,"Ideal","G","SI1",61.6,55,12075,7.69,7.64,4.72
1.21,"Premium","J","VS2",59,60,3694,6.93,6.88,4.07
0.46,"Very Good","D","VS2",63.4,59,1030,4.88,4.83,3.08
1.06,"Ideal","F","VS2",61.4,56,7641,6.56,6.61,4.04
0.31,"Good","H","VS1",57.5,60,435,4.46,4.51,2.58
1.02,"Ideal","G","VVS1",61.5,57,8168,6.44,6.47,3.97
0.72,"Ideal","I","VS1",62.1,55,2430,5.73,5.76,3.56
2.08,"Premium","H","SI1",62.6,59,17778,8.13,8.1,5.08
1.03,"Ideal","E","VS1",61.7,56,8284,6.47,6.53,4.01
0.3,"Ideal","I","VS1",62.6,54,518,4.24,4.29,2.67
1.1,"Ideal","F","I1",61.3,57,3690,6.68,6.62,4.08
0.76,"Ideal","D","VS1",61.1,54,3353,5.86,5.89,3.59
1.17,"Premium","I","SI2",62.7,57,4423,6.77,6.69,4.22
0.54,"Very Good","D","VS2",60.5,59,1885,5.24,5.28,3.18
1.52,"Very Good","H","VS2",63.3,57,10618,7.33,7.32,4.64
0.41,"Ideal","F","VS2",61.8,56,863,4.78,4.8,2.96
0.72,"Ideal","D","SI1",61.5,56.5,3062,5.76,5.79,3.55
1.52,"Premium","H","VVS2",61.2,58,11979,7.48,7.41,4.56
0.79,"Ideal","F","SI1",61.2,56,3169,5.96,6.01,3.66
0.32,"Ideal","I","SI2",61.7,55,371,4.39,4.42,2.72
0.59,"Very Good","G","VS2",62.8,56,1556,5.3,5.34,3.34
1,"Premium","E","SI2",61.2,60,4704,6.45,6.42,3.94
0.73,"Premium","F","SI1",59.3,61,2346,5.85,5.82,3.46
0.57,"Ideal","H","VS2",61.6,55,1558,5.34,5.36,3.29
0.9,"Good","F","SI2",64.2,62,3016,6,6.08,3.88
0.42,"Premium","F","VS1",59.9,61,1103,4.88,4.84,2.91
1.27,"Ideal","G","VS1",61.2,57,11206,6.97,6.98,4.27
1.01,"Good","F","SI2",63.8,57,3532,6.31,6.36,4.04
0.5,"Ideal","D","VS2",62.3,55,1752,5.07,5.11,3.17
0.92,"Ideal","H","VS2",60.8,58,4639,6.27,6.32,3.83
0.32,"Ideal","E","VVS2",61.5,56,1010,4.41,4.44,2.72
1.11,"Very Good","F","VVS1",62.5,59,10069,6.59,6.63,4.13
0.33,"Premium","G","VS1",61.8,59,854,4.45,4.39,2.73
1.1,"Ideal","H","SI2",62,55,4620,6.62,6.6,4.1
0.58,"Premium","F","SI1",61,57,1634,5.41,5.34,3.28
0.91,"Very Good","F","SI1",63.3,60,3195,6.1,6.06,3.85
1.11,"Good","I","VS2",63.6,58,4963,6.52,6.57,4.16
1,"Very Good","F","VS2",61.9,59,5505,6.34,6.38,3.94
0.41,"Ideal","H","VS1",61.8,56,1061,4.81,4.77,2.96
1.25,"Premium","G","VVS1",58.2,61,8281,7.1,7.05,4.12
1.01,"Very Good","G","VS2",61.5,56,5759,6.41,6.47,3.96
1.52,"Fair","H","I1",64.9,58,3504,7.18,7.13,4.65
1.52,"Premium","G","VS1",61.2,60,14293,7.37,7.4,4.52
1.55,"Ideal","I","VS1",61.9,55,11067,7.46,7.43,4.61
0.3,"Very Good","H","VS1",61.9,55,541,4.32,4.37,2.69
1.06,"Ideal","H","SI1",62.7,57,4196,6.53,6.48,4.08
0.47,"Very Good","E","VS2",62.6,57,1320,4.92,4.95,3.09
0.75,"Ideal","E","SI1",61.1,57,2993,5.83,5.86,3.57
0.4,"Premium","F","VVS2",60.7,58,1088,4.7,4.75,2.87
1.01,"Very Good","H","VS1",63,55,5055,6.35,6.41,4.02
0.9,"Good","F","SI1",62.5,59,4119,6.1,6.13,3.82
0.35,"Very Good","F","SI1",61,55,590,4.6,4.63,2.81
